rank,inspect_components,inspect_semis,dismantle_semis,inspect_final,dismantle_final,semi_expected_costs,semi_output_good_probabilities,pass_probability_per_final_assembly,expected_fulfillment_cost,expected_profit
74,10011110,111,010,0,1,"[48.46822130772747, 42.888888888888886, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,147.7768632830361,52.22313671696389
75,11110010,111,100,0,1,"[42.888888888888886, 48.46822130772747, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,147.7768632830361,52.22313671696389
76,01111111,111,010,0,1,"[48.83401920438958, 42.888888888888886, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,147.8957475994513,52.10425240054869
77,11101111,111,100,0,1,"[42.888888888888886, 48.83401920438958, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,147.8957475994513,52.10425240054869
78,10011111,111,001,0,1,"[48.46822130772747, 45.432098765432094, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,147.90032007315958,52.09967992684042
79,11110011,111,001,0,1,"[45.432098765432094, 48.46822130772747, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,147.90032007315958,52.09967992684042
80,11011110,111,000,0,1,"[46.09053497942386, 45.432098765432094, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,147.9423868312757,52.05761316872429
81,11111010,111,000,0,1,"[45.432098765432094, 46.09053497942386, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,147.9423868312757,52.05761316872429
82,01111111,111,011,1,1,"[48.83401920438958, 42.888888888888886, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,147.94513031550068,52.05486968449932
83,11101111,111,101,1,1,"[42.888888888888886, 48.83401920438958, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,147.94513031550068,52.05486968449932
84,10111011,111,001,0,1,"[48.01097393689986, 46.09053497942386, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,148.10150891632372,51.89849108367628
85,11010111,111,001,0,1,"[46.09053497942386, 48.01097393689986, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,148.10150891632372,51.89849108367628
86,01111110,111,010,0,1,"[48.83401920438958, 42.888888888888886, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,148.14266117969822,51.85733882030178
87,11101110,111,100,0,1,"[42.888888888888886, 48.83401920438958, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,148.14266117969822,51.85733882030178
88,01111111,111,001,0,1,"[48.83401920438958, 45.432098765432094, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,148.2661179698217,51.73388203017831
89,11101111,111,001,0,1,"[45.432098765432094, 48.83401920438958, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,148.2661179698217,51.73388203017831
90,11011011,111,000,0,1,"[46.09053497942386, 46.09053497942386, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,148.35390946502056,51.646090534979436
91,11011011,111,001,1,1,"[46.09053497942386, 46.09053497942386, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,148.40329218106993,51.59670781893007
92,00111111,111,011,0,1,"[51.51653711324493, 42.888888888888886, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,148.40542600213382,51.59457399786618
93,11100111,111,101,0,1,"[42.888888888888886, 51.51653711324493, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,148.40542600213382,51.59457399786618
94,01011111,111,010,0,1,"[49.38271604938271, 42.888888888888886, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,148.44444444444446,51.55555555555554
95,11101011,111,100,0,1,"[42.888888888888886, 49.38271604938271, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,148.44444444444446,51.55555555555554
96,01011111,111,011,1,1,"[49.38271604938271, 42.888888888888886, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,148.4938271604938,51.506172839506206
97,11101011,111,101,1,1,"[42.888888888888886, 49.38271604938271, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,148.4938271604938,51.506172839506206
98,10011011,111,001,0,1,"[48.46822130772747, 46.09053497942386, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,148.55875628715134,51.44124371284866
99,11010011,111,001,0,1,"[46.09053497942386, 48.46822130772747, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,148.55875628715134,51.44124371284866
100,11011010,111,000,0,1,"[46.09053497942386, 46.09053497942386, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,148.60082304526748,51.399176954732525
101,01011110,111,010,0,1,"[49.38271604938271, 42.888888888888886, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,148.69135802469134,51.30864197530866
102,11101010,111,100,0,1,"[42.888888888888886, 49.38271604938271, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,148.69135802469134,51.30864197530866
103,00011111,111,011,0,1,"[51.821368693796664, 42.888888888888886, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,148.71025758268556,51.28974241731444
104,11100011,111,101,0,1,"[42.888888888888886, 51.821368693796664, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,148.71025758268556,51.28974241731444
105,01011111,111,001,0,1,"[49.38271604938271, 45.432098765432094, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,148.8148148148148,51.18518518518519
106,11101011,111,001,0,1,"[45.432098765432094, 49.38271604938271, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,148.8148148148148,51.18518518518519
107,11111100,111,010,1,1,"[45.432098765432094, 42.888888888888886, 43.8957475994513]","[1.0, 1.0, 1.0]",0.9,148.88340192043893,51.11659807956107
108,11111100,111,100,1,1,"[42.888888888888886, 45.432098765432094, 43.8957475994513]","[1.0, 1.0, 1.0]",0.9,148.88340192043893,51.11659807956107
109,11111101,111,010,1,1,"[45.432098765432094, 42.888888888888886, 43.895747599451305]","[1.0, 1.0, 1.0]",0.9,148.88340192043896,51.116598079561044
110,11111101,111,100,1,1,"[42.888888888888886, 45.432098765432094, 43.895747599451305]","[1.0, 1.0, 1.0]",0.9,148.88340192043896,51.116598079561044
111,01111011,111,001,0,1,"[48.83401920438958, 46.09053497942386, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,148.92455418381346,51.075445816186544
112,11001111,111,001,0,1,"[46.09053497942386, 48.83401920438958, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,148.92455418381346,51.075445816186544
113,11111100,111,000,0,1,"[45.432098765432094, 45.432098765432094, 43.8957475994513]","[1.0, 1.0, 1.0]",0.9,149.20438957475994,50.795610425240056
114,11111101,111,000,0,1,"[45.432098765432094, 45.432098765432094, 43.895747599451305]","[1.0, 1.0, 1.0]",0.9,149.20438957475994,50.795610425240056
115,10111100,111,010,0,1,"[48.01097393689986, 42.888888888888886, 43.8957475994513]","[1.0, 1.0, 1.0]",0.9,149.2400548696845,50.75994513031549
116,10111101,111,010,0,1,"[48.01097393689986, 42.888888888888886, 43.895747599451305]","[1.0, 1.0, 1.0]",0.9,149.2400548696845,50.75994513031549
117,11110100,111,100,0,1,"[42.888888888888886, 48.01097393689986, 43.8957475994513]","[1.0, 1.0, 1.0]",0.9,149.2400548696845,50.75994513031549
118,11110101,111,100,0,1,"[42.888888888888886, 48.01097393689986, 43.895747599451305]","[1.0, 1.0, 1.0]",0.9,149.2400548696845,50.75994513031549
119,11111111,111,000,1,1,"[45.432098765432094, 45.432098765432094, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,149.25925925925924,50.74074074074076
120,10111111,111,010,1,1,"[48.01097393689986, 42.888888888888886, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,149.2949245541838,50.70507544581619
121,11110111,111,100,1,1,"[42.888888888888886, 48.01097393689986, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,149.2949245541838,50.70507544581619
122,01011011,111,001,0,1,"[49.38271604938271, 46.09053497942386, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,149.47325102880657,50.52674897119343
123,11001011,111,001,0,1,"[46.09053497942386, 49.38271604938271, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,149.47325102880657,50.52674897119343
124,11111110,111,000,1,1,"[45.432098765432094, 45.432098765432094, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,149.50617283950615,50.49382716049385
125,11011100,111,010,1,1,"[46.09053497942386, 42.888888888888886, 43.8957475994513]","[1.0, 1.0, 1.0]",0.9,149.5418381344307,50.45816186556931
126,11111000,111,100,1,1,"[42.888888888888886, 46.09053497942386, 43.8957475994513]","[1.0, 1.0, 1.0]",0.9,149.5418381344307,50.45816186556931
127,10111110,111,010,1,1,"[48.01097393689986, 42.888888888888886, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,149.54183813443072,50.45816186556928
128,11011101,111,010,1,1,"[46.09053497942386, 42.888888888888886, 43.895747599451305]","[1.0, 1.0, 1.0]",0.9,149.54183813443072,50.45816186556928
129,11110110,111,100,1,1,"[42.888888888888886, 48.01097393689986, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,149.54183813443072,50.45816186556928
130,11111001,111,100,1,1,"[42.888888888888886, 46.09053497942386, 43.895747599451305]","[1.0, 1.0, 1.0]",0.9,149.54183813443072,50.45816186556928
131,10111111,111,000,0,1,"[48.01097393689986, 45.432098765432094, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,149.61591220850482,50.384087791495176
132,11110111,111,000,0,1,"[45.432098765432094, 48.01097393689986, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,149.61591220850482,50.384087791495176
133,10111111,111,001,1,1,"[48.01097393689986, 45.432098765432094, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,149.66529492455416,50.33470507544584
134,11110111,111,001,1,1,"[45.432098765432094, 48.01097393689986, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,149.66529492455416,50.33470507544584
135,10011100,111,010,0,1,"[48.46822130772747, 42.888888888888886, 43.8957475994513]","[1.0, 1.0, 1.0]",0.9,149.6973022405121,50.3026977594879
136,10011101,111,010,0,1,"[48.46822130772747, 42.888888888888886, 43.895747599451305]","[1.0, 1.0, 1.0]",0.9,149.6973022405121,50.3026977594879
137,11110000,111,100,0,1,"[42.888888888888886, 48.46822130772747, 43.8957475994513]","[1.0, 1.0, 1.0]",0.9,149.6973022405121,50.3026977594879
138,11110001,111,100,0,1,"[42.888888888888886, 48.46822130772747, 43.895747599451305]","[1.0, 1.0, 1.0]",0.9,149.6973022405121,50.3026977594879
139,10011111,111,010,1,1,"[48.46822130772747, 42.888888888888886, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,149.75217192501142,50.247828074988576
140,11110011,111,100,1,1,"[42.888888888888886, 48.46822130772747, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,149.75217192501142,50.247828074988576
141,10111110,111,000,0,1,"[48.01097393689986, 45.432098765432094, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,149.8628257887517,50.13717421124829
142,11011100,111,000,0,1,"[46.09053497942386, 45.432098765432094, 43.8957475994513]","[1.0, 1.0, 1.0]",0.9,149.8628257887517,50.13717421124829
143,11011101,111,000,0,1,"[46.09053497942386, 45.432098765432094, 43.895747599451305]","[1.0, 1.0, 1.0]",0.9,149.8628257887517,50.13717421124829
144,11110110,111,000,0,1,"[45.432098765432094, 48.01097393689986, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,149.8628257887517,50.13717421124829
145,11111000,111,000,0,1,"[45.432098765432094, 46.09053497942386, 43.8957475994513]","[1.0, 1.0, 1.0]",0.9,149.8628257887517,50.13717421124829
146,11111001,111,000,0,1,"[45.432098765432094, 46.09053497942386, 43.895747599451305]","[1.0, 1.0, 1.0]",0.9,149.8628257887517,50.13717421124829
147,11011111,111,000,1,1,"[46.09053497942386, 45.432098765432094, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,149.917695473251,50.082304526749
148,11111011,111,000,1,1,"[45.432098765432094, 46.09053497942386, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,149.917695473251,50.082304526749
149,10011110,111,010,1,1,"[48.46822130772747, 42.888888888888886, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,149.9990855052583,50.00091449474169
150,11110010,111,100,1,1,"[42.888888888888886, 48.46822130772747, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,149.9990855052583,50.00091449474169
151,10110111,111,001,0,1,"[48.01097393689986, 48.01097393689986, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,150.02194787379972,49.97805212620028
152,01111100,111,010,0,1,"[48.83401920438958, 42.888888888888886, 43.8957475994513]","[1.0, 1.0, 1.0]",0.9,150.06310013717422,49.93689986282578
153,01111101,111,010,0,1,"[48.83401920438958, 42.888888888888886, 43.895747599451305]","[1.0, 1.0, 1.0]",0.9,150.06310013717422,49.93689986282578
154,11101100,111,100,0,1,"[42.888888888888886, 48.83401920438958, 43.8957475994513]","[1.0, 1.0, 1.0]",0.9,150.06310013717422,49.93689986282578
155,11101101,111,100,0,1,"[42.888888888888886, 48.83401920438958, 43.895747599451305]","[1.0, 1.0, 1.0]",0.9,150.06310013717422,49.93689986282578
156,10011111,111,000,0,1,"[48.46822130772747, 45.432098765432094, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,150.0731595793324,49.92684042066759
157,11110011,111,000,0,1,"[45.432098765432094, 48.46822130772747, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,150.0731595793324,49.92684042066759
158,01111111,111,010,1,1,"[48.83401920438958, 42.888888888888886, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,150.1179698216735,49.88203017832649
159,11101111,111,100,1,1,"[42.888888888888886, 48.83401920438958, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,150.1179698216735,49.88203017832649
160,10011111,111,001,1,1,"[48.46822130772747, 45.432098765432094, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,150.12254229538178,49.87745770461822
161,11110011,111,001,1,1,"[45.432098765432094, 48.46822130772747, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,150.12254229538178,49.87745770461822
162,11011110,111,000,1,1,"[46.09053497942386, 45.432098765432094, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,150.1646090534979,49.83539094650209
163,11111010,111,000,1,1,"[45.432098765432094, 46.09053497942386, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,150.1646090534979,49.83539094650209
164,10111011,111,000,0,1,"[48.01097393689986, 46.09053497942386, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,150.2743484224966,49.72565157750341
165,11010111,111,000,0,1,"[46.09053497942386, 48.01097393689986, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,150.2743484224966,49.72565157750341
166,10011110,111,000,0,1,"[48.46822130772747, 45.432098765432094, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,150.32007315957932,49.67992684042068
167,11110010,111,000,0,1,"[45.432098765432094, 48.46822130772747, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,150.32007315957932,49.67992684042068
168,10111011,111,001,1,1,"[48.01097393689986, 46.09053497942386, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,150.32373113854592,49.676268861454076
169,11010111,111,001,1,1,"[46.09053497942386, 48.01097393689986, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,150.32373113854592,49.676268861454076
170,01111110,111,010,1,1,"[48.83401920438958, 42.888888888888886, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,150.36488340192042,49.63511659807958
171,11101110,111,100,1,1,"[42.888888888888886, 48.83401920438958, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,150.36488340192042,49.63511659807958
172,01111111,111,000,0,1,"[48.83401920438958, 45.432098765432094, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,150.43895747599453,49.56104252400547
173,11101111,111,000,0,1,"[45.432098765432094, 48.83401920438958, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,150.43895747599453,49.56104252400547
174,10010111,111,001,0,1,"[48.46822130772747, 48.01097393689986, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,150.47919524462733,49.520804755372666
175,10110011,111,001,0,1,"[48.01097393689986, 48.46822130772747, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,150.47919524462733,49.520804755372666
